Year,Income,Age,Education,Artform
2008,0-15K,65 to 74,some high school,park
2008,0-15K,65 to 74,some high school,park
2012,75K+,65 to 74,some high school,park
2012,30K-50K,65 to 74,some high school,park
2002,0-15K,65 to 74,< 9th grade,play
2002,75K+,75+,some college,art museum
2002,30K-50K,75+,high school,classical
2008,15K-30K,75+,some college,classical
2008,75K+,75+,some college,classical
2012,50K-75K,75+,some college,classical
2008,15K-30K,75+,high school,craft fair
2008,15K-30K,75+,high school,craft fair
2012,15K-30K,75+,< 9th grade,festival
2008,0-15K,75+,high school,festival
2012,30K-50K,75+,some college,festival
2008,75K+,75+,graduate school,jazz
2008,75K+,75+,high school,jazz
2012,50K-75K,75+,graduate school,musical
2002,15K-30K,75+,high school,musical
2012,50K-75K,75+,high school,musical
2002,0-15K,75+,some college,musical
2002,0-15K,75+,< 9th grade,park
2008,15K-30K,75+,< 9th grade,park
2008,15K-30K,75+,< 9th grade,park
2008,15K-30K,75+,< 9th grade,park
2008,75K+,75+,< 9th grade,park
2012,15K-30K,75+,< 9th grade,park
2012,30K-50K,75+,< 9th grade,park
2012,30K-50K,75+,< 9th grade,park
2002,15K-30K,75+,college,park
2002,0-15K,75+,college,park
2008,15K-30K,75+,college,park
2008,75K+,75+,college,park
2008,75K+,75+,college,park
2008,15K-30K,75+,college,park
2012,75K+,75+,college,park
2012,50K-75K,75+,college,park
2012,30K-50K,75+,college,park
2012,30K-50K,75+,college,park
2012,30K-50K,75+,college,park
2012,15K-30K,75+,college,park
2012,75K+,75+,college,park
2002,50K-75K,75+,graduate school,park
2002,30K-50K,75+,graduate school,park
2012,15K-30K,75+,graduate school,park
2012,30K-50K,75+,graduate school,park
2012,30K-50K,75+,graduate school,park
2012,0-15K,75+,graduate school,park
2012,15K-30K,75+,graduate school,park
2002,75K+,75+,high school,park
2002,15K-30K,75+,high school,park
2002,15K-30K,75+,high school,park
2002,30K-50K,75+,high school,park
2008,0-15K,75+,high school,park
2008,0-15K,75+,high school,park
2008,0-15K,75+,high school,park
2008,50K-75K,75+,high school,park
2008,30K-50K,75+,high school,park
2012,50K-75K,75+,high school,park
2012,50K-75K,75+,high school,park
2012,30K-50K,75+,high school,park
2012,30K-50K,75+,high school,park
2012,75K+,75+,high school,park
2002,15K-30K,75+,some college,park
2002,50K-75K,75+,some college,park
2002,15K-30K,75+,some college,park
2002,15K-30K,75+,some college,park
2002,15K-30K,75+,some college,park
2002,15K-30K,75+,some college,park
2002,30K-50K,75+,some college,park
2002,30K-50K,75+,some college,park
2002,15K-30K,75+,some college,park
2008,0-15K,75+,some college,park
2008,0-15K,75+,some college,park
2008,30K-50K,75+,some college,park
2008,30K-50K,75+,some college,park
2008,15K-30K,75+,some college,park
2008,75K+,75+,some college,park
2008,30K-50K,75+,some college,park
2008,15K-30K,75+,some college,park
2012,30K-50K,75+,some college,park
2012,15K-30K,75+,some college,park
2012,15K-30K,75+,some college,park
2012,0-15K,75+,some college,park
2012,30K-50K,75+,some college,park
2012,50K-75K,75+,some college,park
2012,15K-30K,75+,some college,park
2012,0-15K,75+,some college,park
2012,15K-30K,75+,some college,park
2012,30K-50K,75+,some college,park
2002,50K-75K,75+,some high school,park
2008,15K-30K,75+,some high school,park
2008,15K-30K,75+,some high school,park
2008,30K-50K,75+,some high school,park
2012,15K-30K,75+,some high school,park
